CNPJ;Nome_Associacao;Telefone;Estado;Municipio
32.812.849/0001-56;ABN - ASSOCIACAO DE BENEFICIOS DO NORDESTE;82998019264;AL;MACEIO
54.922.857/0001-98;APL CLUBE DE BENEFICIOS;82999762037;AL;ARAPIRACA
34.451.466/0001-25;ASSOCIACAO AGUIA PROTECAO VEICULAR;82981847571;AL;DELMIRO GOUVEIA
60.191.601/0001-50;ASSOCIACAO CENTER AUTO CLUBE DE BENEFICIOS;82991945454;AL;MACEIO
23.671.284/0001-43;ASSOCIACAO DE PROTECAO MUTUALISTA E PATRIMONIAL FENIX BRASIL;82999137171;AL;MACEIO
61.076.580/0001-95;ASSOCIACAO DE PROTECAO PATRIMONIAL DE PROPRIETARIOS DE VEICULOS DE ALAGOAS;82981292227;AL;ARAPIRACA
56.097.988/0001-03;ASSOCIACAO DE PROTECAO VEICULAR DO AGRESTE DE ALAGOAS - APAA;82999852398;AL;ARAPIRACA
38.078.339/0001-83;ASSOCIACAO DE PROTECAO VEICULAR NOVO HORIZONTE;82982118500;AL;MACEIO
53.166.762/0001-29;ASSOCIACAO PROTAXI - PROTECAO VEICULAR;82981416672;AL;CHA PRETA
58.471.887/0001-86;ASSOCIACAO QUITUNDENSE DE PROTECAO VEICULAR - AQPV;82991482608;AL;SAO LUIS DO QUITUNDE
30.352.633/0001-20;ASSOCIACAO RESGATE PREVENCOES;82996099405;AL;ARAPIRACA
47.201.387/0001-08;BM PROTECAO PATRIMONIAL MUTUALISTA;82999380405;AL;ARAPIRACA
41.358.832/0001-61;BR PROTECAO PATRIMONIAL MUTUALISTA;82999991799;AL;OLHO D'AGUA DAS FLORES
41.704.406/0001-32;CLUB TOTAL PROTECAO VEICULAR;82981578057;AL;ARAPIRACA
43.845.446/0001-20;DPS CLUBE DE BENEFICIOS;82991064935;AL;SAO MIGUEL DOS CAMPOS
46.601.638/0001-89;HCL PROTECAO VEICULAR;82996648840;AL;PENEDO
51.959.329/0001-15;L2 PROTECAO AUTOMOTIVA;82988112869;AL;MACEIO
18.178.688/0001-60;LIDERPREV - ASSOCIACAO DE PROTECAO PATRIMONIAL DOS PROPRIETARIOS DE VEICULOS DO NORDESTE;82981837950;AL;MACEIO
51.892.866/0001-95;LN PROTECAO VEICULAR;82993251805;AL;RIO LARGO
44.564.787/0001-90;MC ASSOCIACAO DE BENEFICIOS MUTUOS;82991143137;AL;MACEIO
50.979.005/0001-86;MVS BENEFICIOS E SOCORRO MUTUO;82991140351;AL;MACEIO
54.561.417/0001-52;MYPRO - ASSOCIACAO DE BENEFICIOS;82991194907;AL;MACEIO
52.487.538/0001-76;NORDESTE ASSOCIACAO DE BENEFICIOS MUTUOS;82999454628;AL;ARAPIRACA
31.728.386/0001-86;PONTUAL ASSOCIACAO DE PROTECAO PATRIMONIAL;82999167349;AL;ARAPIRACA
31.111.874/0001-40;PP ASSOCIACAO DE BENEFICIOS;8235221020;AL;ARAPIRACA
38.016.370/0001-90;PRODRIVE PROTECAO PATRIMONIAL MUTUALISTA;82998357590;AL;MACEIO
29.688.257/0001-60;UNIAO ASSOCIACAO DE BENEFICIOS;82996207292;AL;ARAPIRACA
50.693.135/0001-58;UNIAO CLUBE DE BENEFICIOS;8237552685;AL;MACEIO
52.485.082/0001-05;LINKAR PROTECAO VEICULAR;71999944809;AM;MANAUS
32.106.468/0001-51;AAPVC - ASSOCIACAO DE ASSISTENCIA E PROTECAO VEICULAR DE CONQUISTA;7730250101;BA;VITORIA DA CONQUISTA
21.941.809/0001-98;ABA CLUBE DE BENEFICIOS;7332615119;BA;EUNAPOLIS
42.659.091/0001-11;APMC - ASSOCIACAO DE PROTECAO DE AUXILIO MUTUO DOS TAXISTAS E MOTOTAXISTAS DO ESTADO DA BAHIA;7534226582;BA;ALAGOINHAS
17.893.292/0001-31;APROTARECON PROTEGE BENEFICIOS E PROTECAO PATRIMONIAL MUTUALISTA;7133937648;BA;ITAPARICA
19.402.829/0001-49;ASBAV- ASSOCIACAO BAHIANA VEICULAR DE PROTECAO PATRIMONIAL MUTUALISTA.;7133888143;BA;SALVADOR
10.778.368/0001-39;ASBAVE - ASSOCIACAO BAIANA DE ASSISTENCIA A VEICULOS;7133412591;BA;SALVADOR
15.865.540/0001-05;ASSOCIACAO ALLIANCAR CLUBE DE BENEFICIOS E ASSISTENCIA MUTUA;7130396100;BA;SALVADOR
20.915.587/0001-76;ASSOCIACAO AUTO CLUBE ZEUS;7734234891;BA;ANAGE
46.540.155/0001-11;ASSOCIACAO BRASILEIRA DE VANTAGENS E BENEFICIOS MUTUOS;77999655171;BA;LUIS EDUARDO MAGALHAES
45.384.268/0001-02;ASSOCIACAO CAMACARIENSE MARCLA DE PROTECAO PATRIMONIAL MUTUALISTA;71993960325;BA;CAMACARI
